Day,Total infected,Total tested,Total deaths,Total recovered,Infected,Actual tested,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Known infected %,Infected population %,Population immunity %,Death rate,Total isolated,Isolated
241,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
242,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
243,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
244,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
245,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
246,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
247,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
248,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
249,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
250,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
251,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
252,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
253,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
254,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
255,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
256,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
257,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
258,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
259,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
260,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
261,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
262,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
263,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
264,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
265,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
266,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
267,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
268,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
269,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
270,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
271,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
272,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
273,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
274,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
275,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
276,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
277,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
278,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
279,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
280,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
281,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
282,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
283,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
284,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
285,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
286,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
287,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
288,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
289,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
290,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
291,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
292,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
293,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
294,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
295,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
296,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
297,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
298,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
299,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
300,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
301,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
302,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
303,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
304,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
305,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
306,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
307,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
308,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
309,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
310,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
311,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
312,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
313,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
314,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
315,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
316,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
317,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
318,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
319,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
320,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
321,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
322,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
323,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
324,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
325,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
326,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
327,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
328,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
329,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
330,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
331,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
332,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
333,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
334,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
335,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
336,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
337,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
338,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
339,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
340,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
341,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
342,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
343,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
344,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
345,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
346,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
347,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
348,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
349,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
350,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
351,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
352,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
353,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
354,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
355,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
356,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
357,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
358,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
359,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
360,11,3,0,11,0,0,0,0,3,0,0,11,0,0,0,0,0,0.0,0.0,0.0011,0.0,0,0
