Day,Total infected,Total tested,Total deaths,Total recovered,Infected,In treatment,Infected in A,Tested in A,In treatment in A,Deaths in A,Recovered in A,Infected in B,Tested in B,In treatment in B,Deaths in B,Recovered in B,Infected population %,Death rate
35,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
36,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
37,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
38,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
39,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
40,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
41,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
42,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
43,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
44,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
45,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
46,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
47,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
48,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
49,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
50,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
51,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
52,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
53,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
54,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
55,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
56,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
57,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
58,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
59,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
60,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
61,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
62,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
63,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
64,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
65,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
66,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
67,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
68,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
69,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
70,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
71,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
72,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
73,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
74,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
75,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
76,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
77,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
78,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
79,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
80,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
81,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
82,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
83,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
84,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
85,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
86,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
87,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
88,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
89,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
90,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
91,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
92,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
93,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
94,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
95,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
96,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
97,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
98,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
99,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
100,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
101,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
102,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
103,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
104,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
105,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
106,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
107,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
108,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
109,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
110,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
111,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
112,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
113,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
114,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
115,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
116,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
117,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
118,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
119,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
120,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
121,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
122,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
123,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
124,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
125,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
126,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
127,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
128,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
129,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
130,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
131,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
132,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
133,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
134,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
135,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
136,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
137,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
138,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
139,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
140,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
141,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
142,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
143,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
144,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
145,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
146,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
147,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
148,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
149,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
150,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
151,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
152,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
153,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
154,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
155,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
156,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
157,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
158,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
159,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
160,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
161,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
162,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
163,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
164,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
165,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
166,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
167,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
168,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
169,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
170,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
171,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
172,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
173,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
174,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
175,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
176,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
177,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
178,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
179,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
180,8,3,0,8,0,0,0,3,0,0,4,0,0,0,0,4,0.0,0.0
